"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000349, 1, 0.000349, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
54.798927, 0.333676, 54.820849, 1, 0.021922, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
121.991630, 0.056278, 123.544636, 2, 1.553005, clustering_choice=''DBSCAN'', dim_reduction_choice=''IncrementalPCA'', batch_size___IncrementalPCA='22', eps___DBSCAN='4.87237949334927', min_samples___DBSCAN='54', n_components___IncrementalPCA='2', whiten___IncrementalPCA='False'
919.474194, 0.055334, 942.550161, 3, 23.075967, clustering_choice=''MeanShift'', dim_reduction_choice=''PCA'', bandwidth___MeanShift='9.62675740829067', bin_seeding___MeanShift='False', n_components___PCA='2', svd_solver___PCA=''arpack'', whiten___PCA='False'
1374.487004, 0.026046, 1437.099384, 4, 62.612381, clustering_choice=''OPTICS'', dim_reduction_choice=''TSNE'', cluster_method___OPTICS=''xi'', early_exaggeration___TSNE='19.926160364811324', metric___OPTICS=''l2'', min_samples___OPTICS='181', n_components___TSNE='2', perplexity___TSNE='95.24567737058726'
1463.320824, 0.022944, 1525.959951, 5, 62.639127, clustering_choice=''OPTICS'', dim_reduction_choice=''TSNE'', cluster_method___OPTICS=''xi'', early_exaggeration___TSNE='19.395891604173414', metric___OPTICS=''l1'', min_samples___OPTICS='63', n_components___TSNE='2', perplexity___TSNE='139.6491500416569'
