"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000304, 1, 0.000304, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
64.198538, 0.193088, 64.233414, 1, 0.034877, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
360.435895, 0.122143, 363.503276, 2, 3.067381, clustering_choice=''AgglomerativeClustering'', dim_reduction_choice=''TSNE'', affinity___AgglomerativeClustering=''cityblock'', early_exaggeration___TSNE='7.471032321220759', linkage___AgglomerativeClustering=''average'', n_clusters___AgglomerativeClustering='9', n_components___TSNE='2', perplexity___TSNE='175.48390215534172'
1034.549996, 0.090192, 1046.553821, 3, 12.003825, clustering_choice=''OPTICS'', dim_reduction_choice=''TSNE'', cluster_method___OPTICS=''xi'', early_exaggeration___TSNE='6.540756609214835', metric___OPTICS=''l1'', min_samples___OPTICS='110', n_components___TSNE='2', perplexity___TSNE='284.3969685711325'
1203.003903, 0.062923, 1220.929798, 4, 17.925895, clustering_choice=''AgglomerativeClustering'', dim_reduction_choice=''KernelPCA'', affinity___AgglomerativeClustering=''euclidean'', kernel___KernelPCA=''rbf'', linkage___AgglomerativeClustering=''complete'', n_clusters___AgglomerativeClustering='7', n_components___KernelPCA='6'
2357.392743, 0.060691, 2409.340237, 5, 51.947494, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''PCA'', affinity___AffinityPropagation=''euclidean'', damping___AffinityPropagation='0.8632273122206453', n_components___PCA='2', svd_solver___PCA=''arpack'', whiten___PCA='False'
5057.845661, 0.060691, 5262.862326, 6, 205.016665, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''PCA'', affinity___AffinityPropagation=''euclidean'', damping___AffinityPropagation='0.9209469824634049', n_components___PCA='2', svd_solver___PCA=''arpack'', whiten___PCA='False'
