"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000329, 1, 0.000329, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
54.704015, 0.329823, 54.722854, 1, 0.018838, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
153.930872, 0.055026, 155.365519, 2, 1.434647, clustering_choice=''DBSCAN'', dim_reduction_choice=''IncrementalPCA'', batch_size___IncrementalPCA='22', eps___DBSCAN='4.87237949334927', min_samples___DBSCAN='54', n_components___IncrementalPCA='2', whiten___IncrementalPCA='False'
652.058614, 0.018647, 662.814361, 3, 10.755747, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='17.562261716173467', eps___DBSCAN='1.7930007247299184', min_samples___DBSCAN='7', n_components___TSNE='2', perplexity___TSNE='205.36856226562423'
1823.435395, 0.016984, 1900.465047, 4, 77.029651, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.214339204616529', eps___DBSCAN='1.7457644673767665', min_samples___DBSCAN='20', n_components___TSNE='2', perplexity___TSNE='226.68744656148326'
2221.403526, 0.012688, 2311.088030, 5, 89.684504, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='11.368403297161212', eps___DBSCAN='2.820701170100381', min_samples___DBSCAN='10', n_components___TSNE='2', perplexity___TSNE='280.6184917122575'
