"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000354, 1, 0.000354, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
57.488091, 0.335249, 57.542627, 1, 0.054535, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
148.438960, 0.071020, 148.969813, 2, 0.530854, clustering_choice=''GaussianMixture'', dim_reduction_choice=''TSNE'', covariance_type___GaussianMixture=''diag'', early_exaggeration___TSNE='10.259528498769093', init_params___GaussianMixture=''random'', n_components___GaussianMixture='72', n_components___TSNE='2', perplexity___TSNE='159.25949786473558', warm_start___GaussianMixture='True'
156.144470, 0.039730, 157.638061, 3, 1.493592, clustering_choice=''DBSCAN'', dim_reduction_choice=''IncrementalPCA'', batch_size___IncrementalPCA='22', eps___DBSCAN='4.87237949334927', min_samples___DBSCAN='54', n_components___IncrementalPCA='2', whiten___IncrementalPCA='False'
1371.631894, 0.019517, 1414.844686, 4, 43.212792, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.993696163510634', eps___DBSCAN='3.9777787811273284', min_samples___DBSCAN='98', n_components___TSNE='2', perplexity___TSNE='165.1719211395236'
5069.107129, 0.018346, 5295.864370, 5, 226.757241, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='10.979714734516332', eps___DBSCAN='1.6446959213984393', min_samples___DBSCAN='37', n_components___TSNE='2', perplexity___TSNE='183.4591363990353'
5408.898917, 0.016085, 5661.894922, 6, 252.996004, clustering_choice=''MeanShift'', dim_reduction_choice=''TSNE'', bandwidth___MeanShift='5.6959294520315735', bin_seeding___MeanShift='False', early_exaggeration___TSNE='15.490177089376356', n_components___TSNE='2', perplexity___TSNE='238.38238236388406'
