"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000303, 1, 0.000303, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
11.510378, 0.209042, 11.527153, 1, 0.016775, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
33.116671, 0.046218, 34.697909, 2, 1.581238, clustering_choice=''Birch'', dim_reduction_choice=''PCA'', branching_factor___Birch='429', n_clusters___Birch='23', n_components___PCA='3', svd_solver___PCA=''randomized'', whiten___PCA='False'
60.411246, 0.024625, 74.639306, 3, 14.228060, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''TruncatedSVD'', affinity___AffinityPropagation=''euclidean'', algorithm___TruncatedSVD=''randomized'', damping___AffinityPropagation='0.911772468885', n_components___TruncatedSVD='9'
113.900550, 0.021189, 157.152131, 4, 43.251581, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''TSNE'', affinity___AffinityPropagation=''euclidean'', damping___AffinityPropagation='0.9050301214764191', early_exaggeration___TSNE='7.400773143187358', n_components___TSNE='2', perplexity___TSNE='255.13255777336093'
499.292389, 0.020181, 682.873016, 5, 183.580627, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''TSNE'', affinity___AffinityPropagation=''euclidean'', damping___AffinityPropagation='0.8635719634800298', early_exaggeration___TSNE='16.249456298872445', n_components___TSNE='2', perplexity___TSNE='242.91237898917066'
