"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000295, 1, 0.000295, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
33.396809, 0.298699, 33.414523, 1, 0.017714, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
960.434246, 0.288476, 1020.718094, 2, 60.283848, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''TSNE'', affinity___AffinityPropagation=''euclidean'', damping___AffinityPropagation='0.5660355535632686', early_exaggeration___TSNE='12.389150205400732', n_components___TSNE='2', perplexity___TSNE='9.466638342858'
1411.281140, 0.211715, 1538.429544, 3, 127.148404, clustering_choice=''AgglomerativeClustering'', dim_reduction_choice=''IncrementalPCA'', affinity___AgglomerativeClustering=''euclidean'', batch_size___IncrementalPCA='130', linkage___AgglomerativeClustering=''ward'', n_clusters___AgglomerativeClustering='2', n_components___IncrementalPCA='2', whiten___IncrementalPCA='False'
1729.170351, 0.175619, 1874.696903, 4, 145.526551, clustering_choice=''AgglomerativeClustering'', dim_reduction_choice=''TSNE'', affinity___AgglomerativeClustering=''euclidean'', early_exaggeration___TSNE='12.991068469722949', linkage___AgglomerativeClustering=''ward'', n_clusters___AgglomerativeClustering='2', n_components___TSNE='2', perplexity___TSNE='60.77273586509744'
