"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000302, 1, 0.000302, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
40.131105, 0.324250, 40.148217, 1, 0.017112, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
237.694347, 0.275434, 270.835911, 2, 33.141564, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''IncrementalPCA'', batch_size___IncrementalPCA='440', batch_size___MiniBatchKMeans='140', n_clusters___MiniBatchKMeans='4', n_components___IncrementalPCA='2', whiten___IncrementalPCA='True'
1448.669981, 0.260916, 1547.007612, 3, 98.337632, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TruncatedSVD'', algorithm___TruncatedSVD=''arpack'', batch_size___MiniBatchKMeans='271', n_clusters___MiniBatchKMeans='2', n_components___TruncatedSVD='6'
2036.040968, 0.230309, 2164.633414, 4, 128.592445, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TSNE'', batch_size___MiniBatchKMeans='473', early_exaggeration___TSNE='12.0286577072402', n_clusters___MiniBatchKMeans='3', n_components___TSNE='2', perplexity___TSNE='220.64388226963825'
2311.731569, 0.114424, 2462.765809, 5, 151.034240, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TSNE'', batch_size___MiniBatchKMeans='63', early_exaggeration___TSNE='10.92911992817794', n_clusters___MiniBatchKMeans='2', n_components___TSNE='2', perplexity___TSNE='258.4146478762241'
2566.757489, 0.099908, 2732.361080, 6, 165.603591, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='15.160854379453305', eps___DBSCAN='1.9512764331152668', min_samples___DBSCAN='97', n_components___TSNE='2', perplexity___TSNE='168.8814726769175'
