Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
CHO,34,2015-01-02,Home,CLE,L,87,91,32,87,0.368,6,28,0.214,17,26,0.654,15,50,20,5,6,14,24,33,87,0.379,4,15,0.267,21,30,0.7,13,46,16,8,5,7,23
CHO,35,2015-01-03,Away,ORL,W,98,90,35,78,0.449,4,16,0.25,24,32,0.75,16,53,16,4,4,14,15,33,87,0.379,4,19,0.211,20,21,0.952,12,44,18,9,3,7,24
CHO,36,2015-01-05,Away,BOS,W,104,95,38,78,0.487,6,19,0.316,22,23,0.957,12,48,22,2,10,15,22,36,91,0.396,7,18,0.389,16,23,0.696,10,33,22,8,7,6,23
CHO,37,2015-01-07,Home,NOP,W,98,94,37,86,0.43,4,14,0.286,20,26,0.769,9,43,18,9,4,10,18,36,80,0.45,6,18,0.333,16,24,0.667,9,43,19,6,8,14,20
CHO,38,2015-01-08,Away,TOR,W,103,95,42,88,0.477,4,16,0.25,15,22,0.682,9,46,21,5,3,8,18,33,83,0.398,10,31,0.323,19,25,0.76,8,42,20,2,7,14,21
CHO,39,2015-01-10,Away,NYK,W,110,82,39,78,0.5,7,16,0.438,25,33,0.758,11,51,18,8,5,15,14,33,85,0.388,8,29,0.276,8,9,0.889,4,29,17,9,4,12,24
CHO,40,2015-01-14,Home,SAS,L,93,98,33,86,0.384,4,13,0.308,23,35,0.657,15,48,15,4,10,10,18,37,85,0.435,8,21,0.381,16,20,0.8,6,42,27,7,11,12,27
CHO,41,2015-01-17,Home,IND,W,80,71,31,101,0.307,2,15,0.133,16,25,0.64,14,58,16,7,5,7,16,30,84,0.357,2,21,0.095,9,13,0.692,7,56,18,5,10,19,23
CHO,42,2015-01-19,Home,MIN,W,105,80,40,89,0.449,12,22,0.545,13,19,0.684,10,47,27,8,3,10,20,29,80,0.363,6,19,0.316,16,20,0.8,10,42,16,7,6,16,20
CHO,43,2015-01-21,Home,MIA,W,78,76,27,80,0.338,4,19,0.211,20,30,0.667,20,56,19,3,8,14,16,29,84,0.345,5,18,0.278,13,15,0.867,10,41,14,7,8,7,22
CHO,44,2015-01-23,Away,CLE,L,90,129,36,89,0.404,2,16,0.125,16,24,0.667,12,42,27,6,5,11,22,46,89,0.517,15,28,0.536,22,28,0.786,11,56,29,7,5,11,19
CHO,45,2015-01-24,Home,NYK,W,76,71,25,76,0.329,2,7,0.286,24,37,0.649,10,41,9,7,13,9,19,28,79,0.354,6,15,0.4,9,18,0.5,14,54,20,4,6,14,28
CHO,46,2015-01-28,Away,SAS,L,86,95,34,83,0.41,6,18,0.333,12,14,0.857,8,43,23,7,4,12,17,35,83,0.422,10,29,0.345,15,18,0.833,10,49,23,7,8,14,14
CHO,47,2015-01-31,Away,DEN,W,104,86,44,93,0.473,0,11,0,16,25,0.64,10,57,32,10,11,10,18,33,92,0.359,5,24,0.208,15,20,0.75,8,44,21,2,8,12,19
CHO,48,2015-02-02,Away,WAS,W,92,88,37,79,0.468,4,15,0.267,14,19,0.737,6,42,21,6,3,11,18,33,81,0.407,6,15,0.4,16,19,0.842,10,43,19,7,3,12,23
CHO,49,2015-02-05,Home,WAS,W,94,87,33,76,0.434,6,25,0.24,22,27,0.815,12,50,15,5,15,14,19,35,84,0.417,5,10,0.5,12,17,0.706,9,37,20,2,5,12,26
CHO,50,2015-02-07,Away,PHI,L,81,89,29,84,0.345,6,23,0.261,17,20,0.85,5,43,24,9,5,12,20,29,74,0.392,9,23,0.391,22,30,0.733,5,47,19,6,5,15,22
CHO,51,2015-02-08,Home,IND,L,102,103,36,77,0.468,8,14,0.571,22,28,0.786,4,35,24,5,4,10,23,37,84,0.44,7,19,0.368,22,25,0.88,8,40,19,4,2,12,25
CHO,52,2015-02-10,Home,DET,L,78,106,29,81,0.358,9,24,0.375,11,14,0.786,10,38,21,1,9,11,21,37,83,0.446,5,19,0.263,27,30,0.9,10,48,21,8,5,8,18
CHO,53,2015-02-21,Home,OKC,L,103,110,40,93,0.43,7,24,0.292,16,20,0.8,11,41,28,9,10,9,18,42,95,0.442,5,18,0.278,21,26,0.808,19,59,21,7,7,14,20
CHO,54,2015-02-22,Away,DAL,L,81,92,33,90,0.367,6,19,0.316,9,13,0.692,13,47,20,10,2,14,20,36,78,0.462,5,18,0.278,15,19,0.789,6,49,20,7,6,15,16
CHO,55,2015-02-25,Away,CHI,W,98,86,39,84,0.464,4,14,0.286,16,21,0.762,12,45,16,8,3,9,18,34,77,0.442,3,17,0.176,15,23,0.652,9,43,24,6,11,12,17
CHO,56,2015-02-27,Away,BOS,L,98,106,37,82,0.451,10,21,0.476,14,17,0.824,8,48,19,8,7,16,18,40,96,0.417,14,35,0.4,12,15,0.8,14,47,24,8,5,8,15
CHO,57,2015-03-01,Away,ORL,W,98,83,40,80,0.5,8,18,0.444,10,14,0.714,7,47,22,5,4,16,17,31,85,0.365,6,15,0.4,15,20,0.75,10,44,16,8,3,11,19
CHO,58,2015-03-03,Home,LAL,W,104,103,39,79,0.494,5,13,0.385,21,31,0.677,5,42,30,10,5,11,17,39,86,0.453,6,17,0.353,19,21,0.905,6,41,24,6,4,11,21
CHO,59,2015-03-04,Away,BRK,W,115,91,42,85,0.494,8,19,0.421,23,28,0.821,12,49,24,5,2,11,20,35,88,0.398,3,16,0.188,18,24,0.75,12,38,15,6,1,9,24
CHO,60,2015-03-06,Home,TOR,W,103,94,40,85,0.471,5,20,0.25,18,20,0.9,11,56,26,3,5,15,15,37,91,0.407,7,22,0.318,13,15,0.867,5,32,21,5,5,5,18
CHO,61,2015-03-08,Away,DET,W,108,101,41,79,0.519,6,17,0.353,20,23,0.87,4,39,32,6,5,9,20,39,89,0.438,3,14,0.214,20,25,0.8,13,42,21,8,3,10,16
CHO,62,2015-03-09,Home,WAS,L,69,95,25,77,0.325,4,22,0.182,15,20,0.75,8,37,13,4,8,15,11,44,85,0.518,2,14,0.143,5,5,1,8,49,21,10,4,13,19
CHO,63,2015-03-11,Home,SAC,L,106,113,42,93,0.452,6,18,0.333,16,26,0.615,10,44,28,5,12,11,24,40,85,0.471,8,20,0.4,25,30,0.833,7,43,25,4,3,12,21
CHO,64,2015-03-13,Home,CHI,W,101,91,33,89,0.371,7,19,0.368,28,33,0.848,17,55,15,4,7,12,17,31,82,0.378,15,32,0.469,14,19,0.737,4,36,18,4,6,10,25
CHO,65,2015-03-16,Away,UTA,L,66,94,23,78,0.295,5,19,0.263,15,18,0.833,6,36,9,5,4,7,11,33,78,0.423,15,24,0.625,13,19,0.684,14,61,19,3,5,13,19
CHO,66,2015-03-17,Away,LAC,L,92,99,32,79,0.405,5,14,0.357,23,29,0.793,9,43,20,6,4,13,23,35,77,0.455,9,24,0.375,20,28,0.714,7,44,24,7,4,12,26
