"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000393, 1, 0.000393, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
47.527985, 0.330234, 47.547297, 1, 0.019312, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
134.462041, 0.139207, 135.050995, 2, 0.588954, clustering_choice=''GaussianMixture'', dim_reduction_choice=''TSNE'', covariance_type___GaussianMixture=''diag'', early_exaggeration___TSNE='10.259528498769093', init_params___GaussianMixture=''random'', n_components___GaussianMixture='72', n_components___TSNE='2', perplexity___TSNE='159.25949786473558', warm_start___GaussianMixture='True'
134.756566, 0.047426, 136.305032, 3, 1.548466, clustering_choice=''DBSCAN'', dim_reduction_choice=''IncrementalPCA'', batch_size___IncrementalPCA='22', eps___DBSCAN='4.87237949334927', min_samples___DBSCAN='54', n_components___IncrementalPCA='2', whiten___IncrementalPCA='False'
869.482297, 0.042391, 905.973581, 4, 36.491283, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.808006735155455', eps___DBSCAN='2.2775445935269345', min_samples___DBSCAN='30', n_components___TSNE='2', perplexity___TSNE='60.24655711154302'
1104.513028, 0.019396, 1146.524346, 5, 42.011318, clustering_choice=''DBSCAN'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='15.858897021532181', eps___DBSCAN='4.761559930602619', min_samples___DBSCAN='50', n_components___TSNE='2', perplexity___TSNE='205.65055744428028'
