"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000287, 1, 0.000287, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
29.097090, 0.301197, 29.114899, 1, 0.017809, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
338.128576, 0.258111, 346.531404, 2, 8.402828, clustering_choice=''AffinityPropagation'', dim_reduction_choice=''TSNE'', affinity___AffinityPropagation=''euclidean'', damping___AffinityPropagation='0.603633256504969', early_exaggeration___TSNE='6.49547645254688', n_components___TSNE='2', perplexity___TSNE='12.279192360461945'
616.916647, 0.206851, 662.278799, 3, 45.362152, clustering_choice=''AgglomerativeClustering'', dim_reduction_choice=''TSNE'', affinity___AgglomerativeClustering=''l2'', early_exaggeration___TSNE='7.268424443257734', linkage___AgglomerativeClustering=''average'', n_clusters___AgglomerativeClustering='47', n_components___TSNE='2', perplexity___TSNE='6.588545932685763'
3163.030642, 0.193933, 3387.265327, 4, 224.234686, clustering_choice=''AgglomerativeClustering'', dim_reduction_choice=''TSNE'', affinity___AgglomerativeClustering=''l2'', early_exaggeration___TSNE='12.868565642782379', linkage___AgglomerativeClustering=''complete'', n_clusters___AgglomerativeClustering='53', n_components___TSNE='2', perplexity___TSNE='2.531825743645159'
