"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000290, 1, 0.000290, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
70.129669, 0.265667, 70.147765, 1, 0.018096, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='12.0', n_clusters___KMeans='5', n_components___TSNE='2', perplexity___TSNE='30.0'
379.286180, 0.132130, 396.379226, 2, 17.093046, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''FastICA'', algorithm___FastICA=''parallel'', batch_size___MiniBatchKMeans='346', fun___FastICA=''logcosh'', n_clusters___MiniBatchKMeans='15', n_components___FastICA='3', whiten___FastICA='True'
546.190867, 0.108694, 563.305249, 3, 17.114382, clustering_choice=''KMeans'', dim_reduction_choice=''TSNE'', early_exaggeration___TSNE='17.697859106482895', n_clusters___KMeans='14', n_components___TSNE='2', perplexity___TSNE='218.00182413665794'
3053.889292, 0.071349, 3241.710445, 4, 187.821153, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TSNE'', batch_size___MiniBatchKMeans='108', early_exaggeration___TSNE='12.596081313026705', n_clusters___MiniBatchKMeans='16', n_components___TSNE='2', perplexity___TSNE='68.01676642042274'
4729.805554, 0.068469, 4993.350667, 5, 263.545113, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TSNE'', batch_size___MiniBatchKMeans='69', early_exaggeration___TSNE='11.800731077163475', n_clusters___MiniBatchKMeans='16', n_components___TSNE='2', perplexity___TSNE='72.60287546617977'
5130.512300, 0.067088, 5431.836732, 6, 301.324431, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TSNE'', batch_size___MiniBatchKMeans='562', early_exaggeration___TSNE='12.068130892131599', n_clusters___MiniBatchKMeans='16', n_components___TSNE='2', perplexity___TSNE='77.56078663758747'
5240.142568, 0.061949, 5541.488140, 7, 301.345572, clustering_choice=''MiniBatchKMeans'', dim_reduction_choice=''TSNE'', batch_size___MiniBatchKMeans='581', early_exaggeration___TSNE='8.809961282075964', n_clusters___MiniBatchKMeans='16', n_components___TSNE='2', perplexity___TSNE='81.82593113108018'
